volcano_na,latitude,longitude,duration,BTime,ETime
Monowai,-25.887,-177.188,"51",1997/12/15 00:00:00,1998/02/04 00:00:00
Bezymianny,55.972,160.595,"1",1997/12/05 00:00:00,1997/12/06 00:00:00
Colima,19.514,-103.62,"4959",1997/11/22 00:00:00,2011/06/21 00:00:00
Sumisujima,31.44,140.051,"0",1997/11/21 00:00:00,1997/11/21 00:00:00
Fukutoku-Oka-no-Ba,24.285,141.481,"184",1997/11/18 00:00:00,1998/05/21 00:00:00
Niigata-Yakeyama,36.921,138.036,"42",1997/10/29 00:00:00,1997/12/10 00:00:00
Ruapehu,-39.28,175.57,"9",1997/10/09 00:00:00,1997/10/18 00:00:00
Klyuchevskoy,56.056,160.642,"19",1997/09/07 00:00:00,1997/09/26 00:00:00
Alaid,50.861,155.565,"0",1997/08/23 00:00:00,1997/08/23 00:00:00
Akita-Yakeyama,39.964,140.757,"0",1997/08/16 00:00:00,1997/08/16 00:00:00
Bardarbunga,64.633,-17.516,,1997/08/16 00:00:00,
Watt,15.307,-61.305,"0",1997/07/15 00:00:00,1997/07/15 00:00:00
Kikai,30.793,130.305,,1997/07/02 00:00:00,
Sangeang Api,-8.2,119.07,"730",1997/07/02 00:00:00,1999/07/02 00:00:00
Don Joao de Castro Bank,38.23,-26.63,"19",1997/06/27 00:00:00,1997/07/16 00:00:00
Masaya,11.985,-86.165,"167",1997/06/03 00:00:00,1997/11/17 00:00:00
Shishaldin,54.756,-163.97,"0",1997/06/02 00:00:00,1997/06/02 00:00:00
San Cristobal,12.702,-87.004,"49",1997/05/19 00:00:00,1997/07/07 00:00:00
Akita-Yakeyama,39.964,140.757,"0",1997/05/11 00:00:00,1997/05/11 00:00:00
Bezymianny,55.972,160.595,"8",1997/05/08 00:00:00,1997/05/16 00:00:00
Cleveland,52.825,-169.944,"0",1997/05/05 00:00:00,1997/05/05 00:00:00
Monowai,-25.887,-177.188,"3",1997/04/18 00:00:00,1997/04/21 00:00:00
Raung,-8.119,114.056,,1997/04/16 00:00:00,
Krakatau,-6.102,105.423,"61",1997/03/16 00:00:00,1997/05/16 00:00:00
Guagua Pichincha,-0.171,-78.598,"216",1997/03/16 00:00:00,1997/10/18 00:00:00
Llaima,-38.692,-71.729,"214",1997/03/16 00:00:00,1997/10/16 00:00:00
Kita-Ioto,25.424,141.284,"0",1997/03/10 00:00:00,1997/03/10 00:00:00
Sheveluch,56.653,161.36,"27",1997/03/08 00:00:00,1997/04/04 00:00:00
Amukta,52.5,-171.252,,1997/03/03 00:00:00,
Okmok,53.43,-168.13,"97",1997/02/11 00:00:00,1997/05/19 00:00:00
Kavachi,-8.991,157.979,"1",1997/01/16 00:00:00,1997/01/17 00:00:00
Dieng Volcanic Complex,-7.2,109.879,"0",1996/12/31 00:00:00,1996/12/31 00:00:00
Suwanosejima,29.638,129.714,"112",1996/12/26 00:00:00,1997/04/17 00:00:00
McDonald Islands,-53.03,72.6,"56",1996/12/16 00:00:00,1997/02/10 00:00:00
Masaya,11.985,-86.165,"0",1996/12/05 00:00:00,1996/12/05 00:00:00
Alaid,50.861,155.565,,1996/12/03 00:00:00,
Nyamuragira,-1.408,29.2,"4",1996/12/01 00:00:00,1996/12/05 00:00:00
Akan,43.384,144.013,"0",1996/11/21 00:00:00,1996/11/21 00:00:00
Klyuchevskoy,56.056,160.642,"126",1996/11/14 00:00:00,1997/03/20 00:00:00
Lascar,-23.37,-67.73,"0",1996/10/18 00:00:00,1996/10/18 00:00:00
Karangetang,2.781,125.407,"258",1996/10/01 00:00:00,1997/06/16 00:00:00
Grimsvotn,64.416,-17.316,"37",1996/09/30 00:00:00,1996/11/06 00:00:00
Gareloi,51.79,-178.794,,1996/09/27 00:00:00,
Monowai,-25.887,-177.188,"2",1996/09/20 00:00:00,1996/09/22 00:00:00
Amukta,52.5,-171.252,"1",1996/09/17 00:00:00,1996/09/18 00:00:00
Villarrica,-39.42,-71.93,"336",1996/09/14 00:00:00,1997/08/16 00:00:00
Pavlof,55.417,-161.894,"114",1996/09/11 00:00:00,1997/01/03 00:00:00
Adatarayama,37.647,140.281,"0",1996/09/01 00:00:00,1996/09/01 00:00:00
Montagu Island,-58.445,-26.374,,1996/09/01 00:00:00,
Bardarbunga,64.633,-17.516,,1996/08/16 00:00:00,
Kerinci,-1.697,101.264,"61",1996/08/16 00:00:00,1996/10/16 00:00:00
Kanlaon,10.412,123.132,"0",1996/08/10 00:00:00,1996/08/10 00:00:00
Bezymianny,55.972,160.595,"40",1996/07/23 00:00:00,1996/09/01 00:00:00
Krakatau,-6.102,105.423,"92",1996/07/16 00:00:00,1996/10/16 00:00:00
Gamalama,0.8,127.33,,1996/07/02 00:00:00,
Galapagos Rift,0.792,-86.15,,1996/07/02 00:00:00,
Pagan,18.13,145.8,,1996/07/02 00:00:00,
Atka,52.331,-174.139,,1996/06/29 00:00:00,
Ruang,2.3,125.37,,1996/06/27 00:00:00,
Ruapehu,-39.28,175.57,"77",1996/06/16 00:00:00,1996/09/01 00:00:00
Kanaga,51.923,-177.168,,1996/06/11 00:00:00,
Sorikmarapi,0.686,99.539,,1996/05/05 00:00:00,
Poas,10.2,-84.233,"0",1996/04/08 00:00:00,1996/04/08 00:00:00
Ruapehu,-39.28,175.57,,1996/03/21 00:00:00,
Popocatepetl,19.023,-98.622,"2818",1996/03/05 00:00:00,2003/11/22 00:00:00
Hokkaido-Komagatake,42.063,140.677,"7",1996/03/05 00:00:00,1996/03/12 00:00:00
North Gorda Ridge Segment,42.67,-126.78,"16",1996/02/28 00:00:00,1996/03/15 00:00:00
Loihi,18.92,-155.27,"166",1996/02/25 00:00:00,1996/08/09 00:00:00
Eastern Gemini Seamount,-20.98,170.28,"4",1996/02/18 00:00:00,1996/02/22 00:00:00
Unzendake,32.761,130.299,"81",1996/02/10 00:00:00,1996/05/01 00:00:00
Sumisujima,31.44,140.051,"0",1996/01/22 00:00:00,1996/01/22 00:00:00
Villarrica,-39.42,-71.93,,1996/01/16 00:00:00,
Minami-Hiyoshi,23.5,141.935,"1",1996/01/11 00:00:00,1996/01/12 00:00:00
Akademia Nauk,53.98,159.45,"1",1996/01/02 00:00:00,1996/01/03 00:00:00
Karymsky,54.049,159.443,"1814",1996/01/02 00:00:00,2000/12/20 00:00:00
Shishaldin,54.756,-163.97,"145",1995/12/23 00:00:00,1996/05/16 00:00:00
Boomerang Seamount,-37.721,77.825,,1995/12/01 00:00:00,
Rabaul,-4.271,152.203,"2108",1995/11/28 00:00:00,2001/09/05 00:00:00
Monowai,-25.887,-177.188,"3",1995/11/27 00:00:00,1995/11/30 00:00:00
Fukutoku-Oka-no-Ba,24.285,141.481,"615",1995/11/21 00:00:00,1997/07/28 00:00:00
Veniaminof,56.17,-159.38,"15",1995/11/15 00:00:00,1995/11/30 00:00:00
Karangetang,2.781,125.407,"38",1995/11/09 00:00:00,1995/12/17 00:00:00
Rincon de la Vieja,10.83,-85.324,"7",1995/11/06 00:00:00,1995/11/13 00:00:00
Llaima,-38.692,-71.729,"9",1995/10/13 00:00:00,1995/10/22 00:00:00
Ruby,15.62,145.57,"14",1995/10/11 00:00:00,1995/10/25 00:00:00
Kujusan,33.086,131.249,"165",1995/10/11 00:00:00,1996/03/24 00:00:00
Bezymianny,55.972,160.595,"22",1995/09/16 00:00:00,1995/10/08 00:00:00
Copahue,-37.856,-71.183,,1995/09/16 00:00:00,
Rinjani,-8.42,116.47,,1995/09/12 00:00:00,
Tengger Caldera,-7.942,112.95,"98",1995/09/09 00:00:00,1995/12/16 00:00:00
Irruputuncu,-20.73,-68.55,"25",1995/09/01 00:00:00,1995/09/26 00:00:00
Raung,-8.119,114.056,,1995/08/15 00:00:00,
Soufriere Hills,16.72,-62.18,"3004",1995/07/18 00:00:00,2003/10/08 00:00:00
Bardarbunga,64.633,-17.516,,1995/07/16 00:00:00,
Sumisujima,31.44,140.051,"2",1995/07/05 00:00:00,1995/07/07 00:00:00
Tinakula,-10.386,165.804,,1995/07/02 00:00:00,
Whakaari/White Island,-37.52,177.18,"1",1995/06/28 00:00:00,1995/06/29 00:00:00
Kanaga,51.923,-177.168,"4",1995/06/19 00:00:00,1995/06/23 00:00:00
Lateiki,-19.18,-174.87,"17",1995/06/06 00:00:00,1995/06/23 00:00:00
Negro,12.506,-86.702,"191",1995/05/29 00:00:00,1995/12/06 00:00:00
Atka,52.331,-174.139,,1995/05/01 00:00:00,
Veniaminof,56.17,-159.38,"0",1995/04/17 00:00:00,1995/04/17 00:00:00
Saunders,-57.8,-26.483,"1037",1995/04/16 00:00:00,1998/02/16 00:00:00
Villarrica,-39.42,-71.93,"48",1995/04/15 00:00:00,1995/06/02 00:00:00
Fogo,14.95,-24.35,"54",1995/04/02 00:00:00,1995/05/26 00:00:00
Raung,-8.119,114.056,"0",1995/03/16 00:00:00,1995/03/16 00:00:00
Tengger Caldera,-7.942,112.95,"84",1995/03/03 00:00:00,1995/05/26 00:00:00
Ambae,-15.389,167.835,"1",1995/03/02 00:00:00,1995/03/03 00:00:00
Yakedake,36.227,137.587,"0",1995/02/11 00:00:00,1995/02/11 00:00:00
Makushin,53.891,-166.923,"0",1995/01/30 00:00:00,1995/01/30 00:00:00
Fernandina,-0.37,-91.55,"73",1995/01/25 00:00:00,1995/04/08 00:00:00
San Miguel,13.434,-88.269,"97",1995/01/12 00:00:00,1995/04/19 00:00:00
Ruapehu,-39.28,175.57,"302",1995/01/11 00:00:00,1995/11/09 00:00:00
Vailulu'u,-14.215,-169.058,"20",1995/01/09 00:00:00,1995/01/29 00:00:00
Popocatepetl,19.023,-98.622,"288",1994/12/21 00:00:00,1995/10/05 00:00:00
Barren Island,12.278,93.858,"167",1994/12/20 00:00:00,1995/06/05 00:00:00
Ambrym,-16.25,168.12,,1994/12/16 00:00:00,
Copahue,-37.856,-71.183,,1994/12/16 00:00:00,
Irazu,9.979,-83.852,"0",1994/12/08 00:00:00,1994/12/08 00:00:00
Bulusan,12.769,124.056,"62",1994/11/27 00:00:00,1995/01/28 00:00:00
Lascar,-23.37,-67.73,"249",1994/11/13 00:00:00,1995/07/20 00:00:00
Cleveland,52.825,-169.944,"0",1994/10/20 00:00:00,1994/10/20 00:00:00
Dempo,-4.016,103.121,"0",1994/10/16 00:00:00,1994/10/16 00:00:00
Villarrica,-39.42,-71.93,"95",1994/09/26 00:00:00,1994/12/30 00:00:00
Rabaul,-4.271,152.203,"209",1994/09/19 00:00:00,1995/04/16 00:00:00
Lengai,-2.764,35.914,"4319",1994/09/18 00:00:00,2006/07/16 00:00:00
Klyuchevskoy,56.056,160.642,"128",1994/09/08 00:00:00,1995/01/14 00:00:00
Ioto,24.751,141.289,"0",1994/08/22 00:00:00,1994/08/22 00:00:00
Batur,-8.242,115.375,"7",1994/08/07 00:00:00,1994/08/14 00:00:00
Telica,12.606,-86.84,"12",1994/07/31 00:00:00,1994/08/12 00:00:00
Fukutoku-Oka-no-Ba,24.285,141.481,"0",1994/07/28 00:00:00,1994/07/28 00:00:00
Sumisujima,31.44,140.051,"0",1994/07/27 00:00:00,1994/07/27 00:00:00
Colima,19.514,-103.62,"0",1994/07/21 00:00:00,1994/07/21 00:00:00
Lascar,-23.37,-67.73,"6",1994/07/20 00:00:00,1994/07/26 00:00:00
Raung,-8.119,114.056,"0",1994/07/14 00:00:00,1994/07/14 00:00:00
Bezymianny,55.972,160.595,"90",1994/07/07 00:00:00,1994/10/05 00:00:00
Nyamuragira,-1.408,29.2,"52",1994/07/04 00:00:00,1994/08/25 00:00:00
Nyiragongo,-1.52,29.25,"632",1994/06/23 00:00:00,1996/03/16 00:00:00
Rinjani,-8.42,116.47,"171",1994/06/03 00:00:00,1994/11/21 00:00:00
Cleveland,52.825,-169.944,"0",1994/05/25 00:00:00,1994/05/25 00:00:00
Llaima,-38.692,-71.729,"105",1994/05/17 00:00:00,1994/08/30 00:00:00
Asosan,32.884,131.104,"563",1994/05/02 00:00:00,1995/11/16 00:00:00
Ruiz,4.892,-75.324,"0",1994/04/23 00:00:00,1994/04/23 00:00:00
Ulawun,-5.05,151.33,"58",1994/04/19 00:00:00,1994/06/16 00:00:00
Krakatau,-6.102,105.423,"454",1994/03/19 00:00:00,1995/06/16 00:00:00
Poas,10.2,-84.233,"214",1994/03/16 00:00:00,1994/10/16 00:00:00
Ruapehu,-39.28,175.57,"48",1994/02/12 00:00:00,1994/04/01 00:00:00
Ijen,-8.058,114.242,"0",1994/02/03 00:00:00,1994/02/03 00:00:00
Sumisujima,31.44,140.051,"0",1994/01/17 00:00:00,1994/01/17 00:00:00
Gamalama,0.8,127.33,"272",1994/01/16 00:00:00,1994/10/15 00:00:00
Tinguiririca,-34.814,-70.352,"0",1994/01/15 00:00:00,1994/01/15 00:00:00
Kanaga,51.923,-177.168,"325",1994/01/05 00:00:00,1994/11/26 00:00:00
Lascar,-23.37,-67.73,"72",1993/12/17 00:00:00,1994/02/27 00:00:00
Alcedo,-0.43,-91.12,,1993/12/05 00:00:00,
Ojos del Salado,-27.109,-68.541,"0",1993/11/14 00:00:00,1993/11/14 00:00:00
Long Island,-5.358,147.12,"22",1993/11/03 00:00:00,1993/11/25 00:00:00
Ioto,24.751,141.289,"20",1993/10/27 00:00:00,1993/11/16 00:00:00
Bezymianny,55.972,160.595,"106",1993/10/21 00:00:00,1994/02/04 00:00:00
Iliwerung,-8.53,123.57,"4",1993/09/15 00:00:00,1993/09/19 00:00:00
Sumisujima,31.44,140.051,"2",1993/09/08 00:00:00,1993/09/10 00:00:00
Shishaldin,54.756,-163.97,"55",1993/09/04 00:00:00,1993/10/29 00:00:00
Kanlaon,10.412,123.132,"9",1993/08/25 00:00:00,1993/09/03 00:00:00
Makushin,53.891,-166.923,"156",1993/08/16 00:00:00,1994/01/19 00:00:00
Etna,37.748,14.999,"71",1993/08/03 00:00:00,1993/10/13 00:00:00
Veniaminof,56.17,-159.38,"425",1993/07/30 00:00:00,1994/09/28 00:00:00
Ijen,-8.058,114.242,"29",1993/07/03 00:00:00,1993/08/01 00:00:00
CoAxial Segment,46.52,-129.58,"8",1993/06/26 00:00:00,1993/07/04 00:00:00
Iliboleng,-8.342,123.258,"30",1993/06/16 00:00:00,1993/07/16 00:00:00
Masaya,11.985,-86.165,"518",1993/06/16 00:00:00,1994/11/16 00:00:00
Seguam,52.315,-172.51,"95",1993/05/28 00:00:00,1993/08/31 00:00:00
Gamalama,0.8,127.33,"15",1993/05/06 00:00:00,1993/05/21 00:00:00
Tungurahua,-1.467,-78.442,"0",1993/05/06 00:00:00,1993/05/06 00:00:00
Tofua,-19.75,-175.07,,1993/04/29 00:00:00,
Taftan,28.6,61.13,,1993/04/25 00:00:00,
Raung,-8.119,114.056,,1993/04/01 00:00:00,
Aracar,-24.29,-67.783,,1993/03/28 00:00:00,
Guagua Pichincha,-0.171,-78.598,"3",1993/03/09 00:00:00,1993/03/12 00:00:00
Pinatubo,15.13,120.35,"150",1993/02/16 00:00:00,1993/07/16 00:00:00
Etna,37.748,14.999,"0",1993/02/03 00:00:00,1993/02/03 00:00:00
Mayon,13.257,123.685,"61",1993/02/02 00:00:00,1993/04/04 00:00:00
Lascar,-23.37,-67.73,"198",1993/01/30 00:00:00,1993/08/16 00:00:00
Socorro,18.78,-110.95,"391",1993/01/29 00:00:00,1994/02/24 00:00:00
Dieng Volcanic Complex,-7.2,109.879,"0",1993/01/23 00:00:00,1993/01/23 00:00:00
Pagan,18.13,145.8,"305",1993/01/15 00:00:00,1993/11/16 00:00:00
Ulawun,-5.05,151.33,"19",1993/01/12 00:00:00,1993/01/31 00:00:00
Heard,-53.106,73.513,,1993/01/02 00:00:00,
Seguam,52.315,-172.51,"3",1992/12/27 00:00:00,1992/12/30 00:00:00
Akutan,54.134,-165.986,,1992/12/18 00:00:00,
McDonald Islands,-53.03,72.6,,1992/12/16 00:00:00,
Fukutoku-Oka-no-Ba,24.285,141.481,"303",1992/11/10 00:00:00,1993/09/09 00:00:00
Krakatau,-6.102,105.423,"343",1992/11/07 00:00:00,1993/10/16 00:00:00
Poas,10.2,-84.233,"335",1992/10/16 00:00:00,1993/09/16 00:00:00
Klyuchevskoy,56.056,160.642,"365",1992/09/12 00:00:00,1993/09/12 00:00:00
Villarrica,-39.42,-71.93,"96",1992/09/11 00:00:00,1992/12/16 00:00:00
Fournaise,-21.244,55.708,"27",1992/08/27 00:00:00,1992/09/23 00:00:00
Llaima,-38.692,-71.729,"10",1992/08/23 00:00:00,1992/09/02 00:00:00
Sumisujima,31.44,140.051,"63",1992/08/05 00:00:00,1992/10/07 00:00:00
Copahue,-37.856,-71.183,"345",1992/07/22 00:00:00,1993/07/02 00:00:00
Pinatubo,15.13,120.35,"113",1992/07/09 00:00:00,1992/10/30 00:00:00
Bogoslof,53.93,-168.03,"18",1992/07/06 00:00:00,1992/07/24 00:00:00
Spurr,61.299,-152.251,"82",1992/06/27 00:00:00,1992/09/17 00:00:00
Kanlaon,10.412,123.132,"0",1992/06/10 00:00:00,1992/06/10 00:00:00
Heard,-53.106,73.513,,1992/05/29 00:00:00,
Asosan,32.884,131.104,"413",1992/04/23 00:00:00,1993/06/10 00:00:00
Pagan,18.13,145.8,"0",1992/04/13 00:00:00,1992/04/13 00:00:00
Negro,12.506,-86.702,"5",1992/04/09 00:00:00,1992/04/14 00:00:00
Awu,3.689,125.447,,1992/04/07 00:00:00,
Bezymianny,55.972,160.595,"92",1992/03/12 00:00:00,1992/06/12 00:00:00
Akutan,54.134,-165.986,"74",1992/03/08 00:00:00,1992/05/21 00:00:00
Poas,10.2,-84.233,"29",1992/02/16 00:00:00,1992/03/16 00:00:00
Minami-Hiyoshi,23.5,141.935,"21",1992/02/12 00:00:00,1992/03/04 00:00:00
Ruapehu,-39.28,175.57,"27",1992/02/08 00:00:00,1992/03/06 00:00:00
Klyuchevskoy,56.056,160.642,"121",1992/01/25 00:00:00,1992/05/25 00:00:00
Merapi,-7.54,110.446,"3925",1992/01/20 00:00:00,2002/10/19 00:00:00
Heard,-53.106,73.513,"1",1992/01/17 00:00:00,1992/01/18 00:00:00
Kanlaon,10.412,123.132,"0",1992/01/08 00:00:00,1992/01/08 00:00:00
Etna,37.748,14.999,"472",1991/12/14 00:00:00,1993/03/30 00:00:00
Kirishimayama,31.934,130.862,"140",1991/12/01 00:00:00,1992/04/19 00:00:00
Northern EPR at 9.8°N,9.83,-104.3,"65",1991/12/01 00:00:00,1992/02/04 00:00:00
Westdahl,54.516,-164.65,"46",1991/11/29 00:00:00,1992/01/14 00:00:00
Sumisujima,31.44,140.051,"0",1991/11/05 00:00:00,1991/11/05 00:00:00
Iliboleng,-8.342,123.258,"12",1991/11/03 00:00:00,1991/11/15 00:00:00
Lascar,-23.37,-67.73,"215",1991/10/21 00:00:00,1992/05/23 00:00:00
Marchena,0.33,-90.47,"52",1991/09/25 00:00:00,1991/11/16 00:00:00
Nyamuragira,-1.408,29.2,"507",1991/09/20 00:00:00,1993/02/08 00:00:00
Akutan,54.134,-165.986,"44",1991/09/15 00:00:00,1991/10/29 00:00:00
Arjuno-Welirang,-7.733,112.575,,1991/09/13 00:00:00,
Raung,-8.119,114.056,"63",1991/09/10 00:00:00,1991/11/12 00:00:00
Villarrica,-39.42,-71.93,"18",1991/08/30 00:00:00,1991/09/17 00:00:00
Bardarbunga,64.633,-17.516,,1991/08/12 00:00:00,
Hudson,-45.9,-72.97,"80",1991/08/08 00:00:00,1991/10/27 00:00:00
Fournaise,-21.244,55.708,"1",1991/07/19 00:00:00,1991/07/20 00:00:00
Fukutoku-Oka-no-Ba,24.285,141.481,"91",1991/07/19 00:00:00,1991/10/18 00:00:00
Karthala,-11.75,43.38,"0",1991/07/11 00:00:00,1991/07/11 00:00:00
Ruapehu,-39.28,175.57,"9",1991/07/05 00:00:00,1991/07/14 00:00:00
Peuet Sague,4.903,96.289,,1991/07/02 00:00:00,
Karangetang,2.781,125.407,"913",1991/07/02 00:00:00,1993/12/31 00:00:00
Lateiki,-19.18,-174.87,,1991/06/24 00:00:00,
Gamalama,0.8,127.33,"0",1991/06/15 00:00:00,1991/06/15 00:00:00
Soputan,1.112,124.737,"1957",1991/05/22 00:00:00,1996/09/29 00:00:00
Lokon-Empung,1.358,124.792,"244",1991/05/17 00:00:00,1992/01/16 00:00:00
Ontakesan,35.893,137.48,"3",1991/05/13 00:00:00,1991/05/16 00:00:00
Lewotobi,-8.542,122.775,"600",1991/05/11 00:00:00,1992/12/31 00:00:00
Iliboleng,-8.342,123.258,"53",1991/05/08 00:00:00,1991/06/30 00:00:00
Rincon de la Vieja,10.83,-85.324,"498",1991/05/07 00:00:00,1992/09/16 00:00:00
Kavachi,-8.991,157.979,"135",1991/05/04 00:00:00,1991/09/16 00:00:00
Fernandina,-0.37,-91.55,"5",1991/04/19 00:00:00,1991/04/24 00:00:00
Klyuchevskoy,56.056,160.642,"77",1991/04/08 00:00:00,1991/06/24 00:00:00
Pinatubo,15.13,120.35,"153",1991/04/02 00:00:00,1991/09/02 00:00:00
Barren Island,12.278,93.858,"213",1991/04/01 00:00:00,1991/10/31 00:00:00
Ranakah,-8.62,120.52,,1991/03/16 00:00:00,
Northern EPR at 9.8°N,9.83,-104.3,,1991/03/16 00:00:00,
Hollister Ridge,-53.998,-139.845,"8",1991/03/11 00:00:00,1991/03/19 00:00:00
Poas,10.2,-84.233,"194",1991/03/06 00:00:00,1991/09/16 00:00:00
Colima,19.514,-103.62,"229",1991/03/01 00:00:00,1991/10/16 00:00:00
Kanlaon,10.412,123.132,"0",1991/02/14 00:00:00,1991/02/14 00:00:00
Planchon-Peteroa,-35.223,-70.568,"21",1991/02/09 00:00:00,1991/03/02 00:00:00
Ebeko,50.686,156.014,"0",1991/01/16 00:00:00,1991/01/16 00:00:00
Avachinsky,53.256,158.836,"17",1991/01/13 00:00:00,1991/01/30 00:00:00
Kerinci,-1.697,101.264,,1990/12/31 00:00:00,
Lascar,-23.37,-67.73,"0",1990/11/24 00:00:00,1990/11/24 00:00:00
Unzendake,32.761,130.299,"1552",1990/11/17 00:00:00,1995/02/16 00:00:00
St. Helens,46.2,-122.18,"101",1990/11/05 00:00:00,1991/02/14 00:00:00
Udintsev Transform,-56.153,-143.373,"21",1990/10/29 00:00:00,1990/11/19 00:00:00
Apaneca Range,13.891,-89.786,,1990/10/13 00:00:00,
Izu-Oshima,34.724,139.394,"0",1990/10/04 00:00:00,1990/10/04 00:00:00
Akutan,54.134,-165.986,"25",1990/09/06 00:00:00,1990/10/01 00:00:00
Asamayama,36.406,138.523,"0",1990/07/20 00:00:00,1990/07/20 00:00:00
Southern EPR-Segment K,-17.436,-113.206,,1990/07/02 00:00:00,
Puyehue-Cordon Caulle,-40.59,-72.117,,1990/07/02 00:00:00,
Ruapehu,-39.28,175.57,"83",1990/06/17 00:00:00,1990/09/08 00:00:00
Kiska,52.103,177.602,"0",1990/06/01 00:00:00,1990/06/01 00:00:00
Monowai,-25.887,-177.188,"299",1990/05/30 00:00:00,1991/03/25 00:00:00
Sabancaya,-15.787,-71.857,"3033",1990/05/28 00:00:00,1998/09/16 00:00:00
Gamalama,0.8,127.33,"1",1990/04/25 00:00:00,1990/04/26 00:00:00
Pular,-24.188,-68.054,"0",1990/04/24 00:00:00,1990/04/24 00:00:00
Guagua Pichincha,-0.171,-78.598,"24",1990/04/16 00:00:00,1990/05/10 00:00:00
Suwanosejima,29.638,129.714,"2281",1990/04/16 00:00:00,1996/07/14 00:00:00
Kick 'em Jenny,12.3,-61.64,"2",1990/03/26 00:00:00,1990/03/28 00:00:00
Pavlof,55.417,-161.894,"0",1990/03/05 00:00:00,1990/03/05 00:00:00
Llaima,-38.692,-71.729,"273",1990/02/25 00:00:00,1990/11/25 00:00:00
Kelut,-7.93,112.308,"31",1990/02/10 00:00:00,1990/03/13 00:00:00
Bezymianny,55.972,160.595,"669",1990/01/29 00:00:00,1991/11/29 00:00:00
Lewotobi,-8.542,122.775,"139",1990/01/28 00:00:00,1990/06/16 00:00:00
Akutan,54.134,-165.986,"0",1990/01/26 00:00:00,1990/01/26 00:00:00
Fournaise,-21.244,55.708,"110",1990/01/18 00:00:00,1990/05/08 00:00:00
Raung,-8.119,114.056,"334",1990/01/16 00:00:00,1990/12/16 00:00:00
Sheveluch,56.653,161.36,"1863",1990/01/10 00:00:00,1995/02/16 00:00:00
Ruapehu,-39.28,175.57,"19",1990/01/07 00:00:00,1990/01/26 00:00:00
Galeras,1.22,-77.37,"921",1990/01/07 00:00:00,1992/07/16 00:00:00
Pacaya,14.382,-90.601,"3709",1990/01/04 00:00:00,2000/03/01 00:00:00
Etna,37.748,14.999,"889",1989/12/16 00:00:00,1992/05/23 00:00:00
Irruputuncu,-20.73,-68.55,,1989/12/16 00:00:00,
Redoubt,60.485,-152.742,"188",1989/12/14 00:00:00,1990/06/20 00:00:00
St. Helens,46.2,-122.18,"30",1989/12/07 00:00:00,1990/01/06 00:00:00
Cleveland,52.825,-169.944,,1989/10/25 00:00:00,
Kanlaon,10.412,123.132,"49",1989/10/25 00:00:00,1989/12/13 00:00:00
Supply Reef,20.13,145.1,"97",1989/09/21 00:00:00,1989/12/27 00:00:00
Etna,37.748,14.999,"28",1989/09/11 00:00:00,1989/10/09 00:00:00
Gareloi,51.79,-178.794,,1989/08/17 00:00:00,
Tinakula,-10.386,165.804,"184",1989/08/16 00:00:00,1990/02/16 00:00:00
Bezymianny,55.972,160.595,"3",1989/08/01 00:00:00,1989/08/04 00:00:00
Sumisujima,31.44,140.051,"0",1989/07/18 00:00:00,1989/07/18 00:00:00
Kita-Ioto,25.424,141.284,"0",1989/07/16 00:00:00,1989/07/16 00:00:00
Karangetang,2.781,125.407,"0",1989/07/16 00:00:00,1989/07/16 00:00:00
Izu-Tobu,34.9,139.098,"0",1989/07/13 00:00:00,1989/07/13 00:00:00
Ruapehu,-39.28,175.57,"81",1989/07/01 00:00:00,1989/09/20 00:00:00
Cameroon,4.203,9.17,"0",1989/05/29 00:00:00,1989/05/29 00:00:00
Etorofu-Yakeyama [Grozny Group],45.012,147.871,"94",1989/05/03 00:00:00,1989/08/05 00:00:00
Nyamuragira,-1.408,29.2,"113",1989/04/24 00:00:00,1989/08/15 00:00:00
Soputan,1.112,124.737,"1",1989/04/22 00:00:00,1989/04/23 00:00:00
Niigata-Yakeyama,36.921,138.036,"7",1989/04/19 00:00:00,1989/04/26 00:00:00
Sheveluch,56.653,161.36,"80",1989/04/07 00:00:00,1989/06/26 00:00:00
Asosan,32.884,131.104,"675",1989/04/05 00:00:00,1991/02/09 00:00:00
Akutan,54.134,-165.986,"29",1989/02/27 00:00:00,1989/03/28 00:00:00
Masaya,11.985,-86.165,"269",1989/02/20 00:00:00,1989/11/16 00:00:00
Galeras,1.22,-77.37,"79",1989/02/19 00:00:00,1989/05/09 00:00:00
Ebeko,50.686,156.014,"437",1989/02/02 00:00:00,1990/04/15 00:00:00
Saunders,-57.8,-26.483,"416",1989/01/30 00:00:00,1990/03/22 00:00:00
Sumisujima,31.44,140.051,"0",1989/01/18 00:00:00,1989/01/18 00:00:00
Sarychev Peak,48.092,153.2,"1",1989/01/13 00:00:00,1989/01/14 00:00:00
Kusatsu-Shiranesan,36.618,138.528,"0",1989/01/06 00:00:00,1989/01/06 00:00:00
Ulawun,-5.05,151.33,"349",1989/01/01 00:00:00,1989/12/16 00:00:00
Kick 'em Jenny,12.3,-61.64,"1",1988/12/29 00:00:00,1988/12/30 00:00:00
Lonquimay,-38.379,-71.586,"395",1988/12/25 00:00:00,1990/01/24 00:00:00
Tokachidake,43.418,142.686,"157",1988/12/10 00:00:00,1989/05/16 00:00:00
Ruapehu,-39.28,175.57,"87",1988/12/08 00:00:00,1989/03/05 00:00:00
